id;name;key_class;area;division;units;n_order;career_id
1;Auto Loan Account;calculating Data;Clothing;South Carolina Money Market Account Fantastic;11326;40803;1
2;granular TCP Outdoors;bypassing infomediaries neutral;Money Market Account Street;override;94765;52092;2
3;Dynamic Specialist;expedite azure;Buckinghamshire Ball;Checking Account Accountability Gorgeous Wooden Hat;96760;80116;3
4;Organic Toys architect;Guinea Franc;New Zealand Dollar Home Loan Account Sports;bypass Borders;29004;93737;4
5;Data Licensed Frozen Pizza zero defect;disintermediate;Web local contextually-based;24/365 Toys;30633;89470;5
6;tangible support interface;Advanced withdrawal;forecast Paradigm copying;program Investment Account COM;24374;18055;6
7;Moldovan Leu RSS Manager;white whiteboard invoice;Integration Customer bypass;Handmade Configurable Rubber;38200;99025;7
8;Denar compelling;COM;Chips;system engine;6356;73417;8
9;Enhanced;Functionality payment Gardens;e-markets Kwacha;Visionary Rustic Wooden Mouse Car;2095;56312;9
10;interfaces executive Assistant;drive;purple Netherlands;Avon Gorgeous;47555;91228;10
