id;name;start_date;end_date;school_cycle_id;teacher_id;n_class_id;room_id;modality_id
1;violet Generic Wooden Chips Fantastic;2021-02-02;2021-02-02;1;1;1;1;1
2;calculate;2021-02-02;2021-02-02;2;2;2;2;2
3;payment interfaces;2021-02-02;2021-02-01;3;3;3;3;3
4;deposit;2021-02-02;2021-02-01;4;4;4;4;4
5;grey;2021-02-02;2021-02-02;5;5;5;5;5
6;Home Loan Account;2021-02-02;2021-02-02;6;6;6;6;6
7;Creek Borders;2021-02-02;2021-02-01;7;7;7;7;7
8;withdrawal SAS Borders;2021-02-02;2021-02-02;8;8;8;8;8
9;Key infrastructures;2021-02-02;2021-02-01;9;9;9;9;9
10;tangible;2021-02-02;2021-02-02;10;10;10;10;10
